,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,T_index,Time
0,18694.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,5,1
1,18693.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,8,2
2,18692.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,10,3
3,18692.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,12,4
4,18691.0,3.0,2.0,1.0,1.0,0.0,2.0,0.0,15,5
5,18689.0,4.0,3.0,1.0,1.0,0.0,2.0,0.0,18,6
6,18687.0,4.0,5.0,1.0,1.0,0.0,2.0,0.0,22,7
7,18683.0,8.0,3.0,3.0,1.0,0.0,2.0,0.0,28,8
8,18679.0,11.0,3.0,3.0,2.0,0.0,2.0,0.0,34,9
9,18677.0,12.0,4.0,3.0,2.0,0.0,2.0,0.0,37,10
10,18676.0,11.0,5.0,3.0,1.0,0.0,4.0,0.0,43,11
11,18674.0,9.0,5.0,4.0,4.0,0.0,4.0,0.0,53,12
12,18671.0,10.0,6.0,5.0,4.0,0.0,4.0,0.0,59,13
13,18666.0,14.0,5.0,6.0,5.0,0.0,4.0,0.0,67,14
14,18661.0,16.0,8.0,6.0,5.0,0.0,4.0,0.0,75,15
15,18657.0,17.0,10.0,7.0,5.0,0.0,4.0,0.0,83,16
16,18648.0,23.0,12.0,8.0,5.0,0.0,4.0,0.0,96,17
17,18643.0,23.0,11.0,10.0,9.0,0.0,4.0,0.0,112,18
18,18638.0,20.0,16.0,10.0,11.0,0.0,5.0,0.0,129,19
19,18628.0,27.0,14.0,12.0,13.0,0.0,6.0,0.0,148,20
